attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
local,low,none,required,changed,none,low,high,0.0229,unproven,334,medium
physical,high,low,none,unchanged,none,none,high,0.0781,unproven,207,medium
local,low,none,required,unchanged,none,none,low,0.0076,functional,283,low
local,low,low,none,changed,low,none,low,0.0774,unproven,659,medium
network,high,none,required,changed,none,high,none,0.1321,functional,64,medium
network,high,low,none,unchanged,low,low,low,0.0601,unproven,146,medium
network,low,none,required,unchanged,low,high,high,0.0934,high,158,high
network,low,high,none,changed,low,high,high,0.0997,poc,223,high
network,high,low,required,unchanged,high,none,none,0.1237,unproven,191,medium
network,low,none,required,unchanged,low,high,none,0.0281,unproven,535,high
network,low,none,none,changed,high,low,high,0.2012,unproven,413,critical
local,low,none,none,unchanged,high,low,low,0.1007,unproven,205,high
network,high,none,none,unchanged,none,low,high,0.0345,functional,232,medium
adjacent,high,none,none,unchanged,high,none,none,0.1404,unproven,379,medium
network,low,high,none,changed,low,low,none,0.0354,unproven,294,medium
local,low,none,none,unchanged,low,low,none,0.3954,unproven,122,medium
network,high,low,none,changed,high,high,high,0.0531,high,155,high
network,low,high,none,unchanged,low,none,high,0.3263,poc,278,medium
local,low,high,required,changed,low,low,none,0.147,unproven,390,low
local,low,high,required,unchanged,none,low,none,0.0446,unproven,238,low
network,low,none,required,unchanged,low,high,low,0.054,unproven,167,high
local,low,none,required,unchanged,none,high,high,0.1909,unproven,103,high
network,low,none,required,unchanged,low,low,low,0.0246,unproven,408,medium
local,low,none,required,changed,none,none,high,0.1286,unproven,202,high
local,low,low,none,unchanged,low,high,high,0.1698,functional,112,high
network,high,none,required,unchanged,high,high,none,0.0176,unproven,75,medium
network,high,high,required,unchanged,low,low,low,0.2067,poc,111,low
network,low,low,none,unchanged,low,low,high,0.3528,unproven,370,high
network,low,low,required,changed,high,none,none,0.1992,unproven,251,medium
network,low,none,required,unchanged,low,high,high,0.1801,unproven,232,high
network,low,low,none,unchanged,high,none,none,0.0804,high,397,medium
network,low,low,required,unchanged,none,low,low,0.1039,unproven,296,medium
network,low,low,required,unchanged,none,low,high,0.0327,unproven,130,medium
network,high,low,none,unchanged,high,none,high,0.035,functional,654,medium
local,low,none,none,unchanged,none,none,low,0.0412,unproven,141,low
local,high,low,none,changed,high,high,low,0.367,poc,63,high
network,low,none,none,unchanged,low,none,high,0.0523,high,340,high
network,low,none,required,changed,high,low,low,0.1869,unproven,126,critical
local,low,high,none,changed,high,none,none,0.019,unproven,638,medium
network,low,none,none,unchanged,high,none,high,0.2176,poc,68,critical
network,low,none,required,unchanged,low,high,high,0.067,unproven,299,high
network,low,none,none,changed,high,low,none,0.0477,functional,202,high
network,low,low,none,unchanged,low,low,high,0.0503,unproven,74,high
network,low,low,none,unchanged,none,high,low,0.1088,high,410,medium
network,low,none,none,changed,low,none,low,0.1322,functional,192,high
network,high,low,none,unchanged,high,low,low,0.1674,unproven,296,medium
adjacent,low,high,required,unchanged,high,high,none,0.1637,unproven,237,medium
network,high,none,required,unchanged,none,low,high,0.0655,unproven,74,medium
physical,low,high,none,unchanged,high,high,high,0.1323,unproven,178,medium
network,low,high,none,unchanged,high,high,none,0.0299,functional,549,medium
network,low,none,none,unchanged,none,low,none,0.0325,high,101,medium
network,low,none,required,unchanged,none,high,none,0.0354,functional,279,medium
local,high,none,none,changed,high,none,none,0.0888,unproven,371,medium
local,high,none,none,unchanged,low,none,high,0.1418,high,51,medium
adjacent,high,low,required,unchanged,low,low,none,0.1539,unproven,259,low
network,low,low,none,unchanged,low,high,none,0.0748,poc,446,medium
network,high,none,none,unchanged,high,high,high,0.053,unproven,147,high
physical,low,low,none,unchanged,low,none,high,0.1461,functional,166,medium
local,low,low,none,unchanged,high,none,high,0.1609,poc,253,high
adjacent,high,none,none,changed,high,high,none,0.2423,unproven,395,high
network,low,low,required,unchanged,none,low,high,0.0621,poc,782,medium
network,low,none,none,unchanged,low,low,high,0.0378,poc,116,high
network,low,low,none,unchanged,high,low,high,0.1418,unproven,170,high
adjacent,low,none,none,unchanged,none,low,none,0.1984,functional,56,low
local,high,high,none,unchanged,high,low,low,0.1474,unproven,100,medium
network,low,none,required,unchanged,low,none,none,0.0137,poc,289,low
network,low,none,none,unchanged,high,low,none,0.0333,unproven,33,high
network,low,none,none,unchanged,low,low,low,0.5224,poc,127,high
adjacent,low,none,required,unchanged,low,low,high,0.0071,poc,694,high
local,low,low,none,unchanged,none,high,none,0.2545,poc,98,medium
adjacent,low,low,required,unchanged,high,none,none,0.0793,unproven,72,medium
adjacent,low,high,none,unchanged,high,none,high,0.064,unproven,97,medium
network,high,none,required,unchanged,low,high,none,0.0221,poc,66,medium
network,high,none,required,unchanged,none,none,low,0.065,unproven,63,low
adjacent,low,low,required,unchanged,high,none,none,0.0511,unproven,126,medium
local,low,low,required,unchanged,none,low,low,0.0706,unproven,336,low
network,high,high,none,unchanged,none,high,none,0.0045,unproven,23,medium
local,low,low,none,changed,low,high,low,0.0242,unproven,7,medium
local,low,low,required,unchanged,high,high,low,0.0328,unproven,284,high
local,low,none,none,unchanged,none,low,high,0.0603,poc,721,medium
network,low,high,required,unchanged,high,high,high,0.0766,unproven,66,medium
network,low,low,none,unchanged,none,high,high,0.1376,poc,142,high
network,low,low,none,unchanged,none,none,low,0.0404,unproven,150,medium
local,low,low,required,changed,none,none,low,0.0029,poc,411,low
network,low,none,required,unchanged,low,high,low,0.1276,unproven,412,high
local,high,high,none,unchanged,high,low,none,0.0573,unproven,87,low
network,low,high,required,unchanged,low,low,none,0.0877,functional,236,low
network,low,none,none,unchanged,low,low,high,0.0279,poc,108,critical
network,low,high,none,changed,low,none,high,0.1204,functional,505,medium
network,low,high,required,unchanged,low,low,none,0.1474,unproven,496,low
adjacent,high,none,none,unchanged,low,high,low,0.0526,poc,187,high
physical,low,low,none,unchanged,high,high,high,0.0127,poc,212,medium
network,high,none,none,unchanged,high,low,none,0.0246,poc,69,medium
network,high,none,required,unchanged,high,low,none,0.016,poc,71,medium
adjacent,low,low,required,unchanged,high,none,low,0.1001,poc,69,medium
network,low,none,none,changed,high,none,none,0.1536,unproven,167,critical
local,low,none,none,unchanged,high,high,high,0.0714,unproven,39,critical
network,low,none,required,unchanged,low,low,none,0.2157,unproven,174,medium
adjacent,low,low,none,unchanged,none,low,none,0.0414,unproven,76,medium
adjacent,low,low,required,unchanged,low,high,high,0.3506,poc,71,medium
local,low,none,required,unchanged,high,none,none,0.2172,unproven,263,medium
local,low,low,none,changed,high,low,high,0.1432,high,204,high
network,low,none,required,unchanged,low,low,high,0.0615,poc,323,high
network,low,none,none,unchanged,high,none,low,0.0945,poc,153,high
local,low,high,none,unchanged,none,high,high,0.1535,poc,360,medium
network,low,high,none,unchanged,high,low,low,0.1373,unproven,368,medium
local,low,low,none,unchanged,none,low,low,0.1556,high,332,medium
network,low,low,none,changed,high,low,low,0.0724,poc,426,high
network,low,none,none,unchanged,none,low,low,0.1973,poc,259,medium
network,low,none,none,unchanged,high,none,high,0.1328,poc,317,high
local,low,none,none,unchanged,low,none,none,0.1389,poc,62,low
local,low,low,none,unchanged,high,low,high,0.2915,functional,619,high
adjacent,high,none,required,unchanged,low,high,high,0.0374,unproven,30,medium
network,low,none,none,unchanged,none,low,low,0.2963,unproven,96,medium
network,low,low,none,unchanged,high,low,none,0.1185,poc,716,medium
network,low,none,none,unchanged,low,none,low,0.0341,functional,314,medium
network,low,low,none,unchanged,low,high,none,0.1147,unproven,759,high
adjacent,high,high,none,unchanged,low,none,high,0.1337,high,151,medium
network,high,none,none,unchanged,none,low,high,0.0632,poc,424,medium
local,low,none,none,changed,none,high,none,0.1319,unproven,316,medium
local,low,none,none,unchanged,high,high,low,0.2328,poc,188,high
network,high,low,none,unchanged,low,low,low,0.0127,high,127,medium
network,high,low,required,unchanged,high,low,low,0.0301,unproven,224,medium
network,high,high,required,unchanged,low,high,high,0.0497,poc,309,medium
network,low,none,none,unchanged,low,none,none,0.0651,unproven,60,medium
network,low,low,none,unchanged,high,low,high,0.2401,poc,34,high
network,low,low,none,unchanged,high,low,high,0.0394,poc,151,high
physical,low,none,none,unchanged,high,none,none,0.0796,functional,53,medium
adjacent,low,none,none,unchanged,high,none,high,0.0869,functional,408,high
network,high,none,none,unchanged,high,low,high,0.1575,functional,68,medium
adjacent,high,high,required,unchanged,high,none,none,0.1097,functional,280,medium
network,high,low,required,changed,high,low,high,0.0136,poc,132,high
local,low,none,required,unchanged,low,none,none,0.1001,functional,879,low
network,low,high,required,unchanged,none,low,high,0.0357,functional,59,medium
local,high,high,none,unchanged,none,high,high,0.0188,unproven,244,medium
network,high,high,none,unchanged,high,none,high,0.0737,poc,85,medium
local,low,none,none,changed,none,high,low,0.1605,poc,259,high
local,low,none,required,unchanged,high,none,none,0.1384,high,57,medium
network,low,low,none,changed,high,low,none,0.0128,unproven,11,high
physical,high,high,required,changed,none,none,none,0.1073,high,101,low
local,high,high,none,changed,low,low,high,0.2215,high,138,medium
network,high,high,none,unchanged,high,low,low,0.0614,poc,191,medium
local,high,none,required,changed,none,low,none,0.0431,unproven,415,low
local,high,high,none,unchanged,none,none,low,0.2487,unproven,201,low
network,high,none,required,changed,high,none,low,0.3011,poc,85,medium
network,low,none,none,unchanged,none,high,low,0.2349,functional,183,high
network,low,none,none,changed,low,high,high,0.1148,high,311,critical
adjacent,high,low,required,unchanged,low,high,high,0.018,poc,44,medium
network,low,none,required,unchanged,low,high,low,0.2473,unproven,482,high
network,low,none,none,unchanged,low,none,low,0.0685,poc,746,high
physical,low,none,none,unchanged,none,high,low,0.1597,poc,142,medium
network,low,high,none,changed,low,low,none,0.025,poc,196,medium
network,high,low,required,changed,none,none,low,0.1338,functional,9,low
network,low,none,none,changed,low,none,low,0.116,functional,255,medium
network,low,none,none,unchanged,none,high,none,0.0148,unproven,191,high
network,high,low,none,unchanged,none,none,high,0.2687,unproven,156,medium
network,low,low,required,unchanged,low,high,low,0.0753,unproven,287,high
network,high,high,none,unchanged,high,high,none,0.1646,unproven,87,medium
adjacent,low,none,none,changed,high,high,high,0.1936,poc,670,critical
network,low,none,none,changed,none,high,low,0.0315,unproven,430,critical
local,high,low,none,unchanged,high,high,high,0.1837,unproven,122,medium
network,low,none,none,unchanged,high,high,none,0.1145,unproven,141,critical
local,low,none,none,changed,none,high,high,0.0961,poc,128,high
local,low,low,required,unchanged,high,none,low,0.3218,poc,322,medium
network,low,low,required,unchanged,high,high,none,0.1539,unproven,266,high
network,low,low,required,changed,low,none,none,0.0265,high,387,medium
network,low,low,none,unchanged,high,high,none,0.1162,poc,115,high
physical,low,low,none,changed,high,low,low,0.0521,unproven,40,medium
network,low,low,none,unchanged,high,high,low,0.2451,unproven,741,high
local,high,low,required,unchanged,none,none,none,0.1506,functional,141,low
adjacent,high,low,none,unchanged,high,high,none,0.1313,functional,249,medium
local,low,none,required,unchanged,low,high,high,0.0977,poc,83,medium
network,low,none,required,unchanged,low,low,low,0.2216,poc,438,medium
local,low,none,none,unchanged,low,high,low,0.0771,poc,215,medium
local,high,low,none,unchanged,low,none,high,0.088,functional,83,medium
network,low,high,required,changed,none,high,high,0.0644,unproven,48,high
physical,low,none,none,changed,high,high,high,0.1233,unproven,172,high
local,low,low,required,unchanged,low,none,high,0.0701,unproven,415,medium
local,low,low,none,unchanged,high,high,high,0.0705,poc,123,high
network,low,low,none,unchanged,low,high,low,0.1132,high,25,high
network,low,none,none,unchanged,high,low,high,0.1058,functional,116,critical
network,low,none,none,unchanged,high,low,low,0.1082,high,472,high
adjacent,low,low,none,unchanged,low,none,high,0.076,unproven,92,medium
network,low,none,none,unchanged,none,high,none,0.0137,unproven,297,high
physical,high,none,none,changed,low,none,high,0.0869,poc,39,medium
local,high,none,none,changed,low,low,none,0.2239,unproven,262,medium
local,low,low,required,unchanged,high,low,none,0.0585,unproven,515,medium
network,low,low,none,unchanged,none,high,high,0.0589,unproven,83,high
local,low,none,required,unchanged,low,high,none,0.1185,functional,92,medium
physical,low,low,required,unchanged,low,high,none,0.0634,poc,185,medium
network,low,low,required,unchanged,low,none,high,0.0868,poc,125,medium
network,high,high,required,changed,low,high,high,0.0198,functional,243,medium
network,low,low,none,changed,high,none,high,0.1053,functional,166,critical
adjacent,low,none,none,unchanged,high,low,low,0.0767,unproven,15,high
network,low,low,none,unchanged,none,none,high,0.0801,unproven,146,medium
network,high,none,required,unchanged,low,none,high,0.0115,unproven,415,medium
local,high,low,none,unchanged,high,none,high,0.1584,unproven,286,medium
network,high,low,required,unchanged,low,none,none,0.0935,unproven,119,low
